gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Manf,Astro,4.899720805891421e-11,-0.5256258468113941,0.433,0.598,1.0289413692371985e-6
Entpd2,Astro,5.2023785297689726e-11,0.4988403465795197,0.509,0.309,1.0924994912514842e-6
Aox1,Astro,5.790168529266473e-11,0.5068496839685961,0.179,0.042,1.2159353911459595e-6
Rpe65,Astro,5.826819130938713e-11,0.45767301680540706,0.115,0.007,1.2236320174971296e-6
Lap3,Astro,6.577947514111857e-11,0.48061970085518024,0.645,0.444,1.3813689779634898e-6
Adora2b,Astro,6.739362747812136e-11,0.581660134327301,0.302,0.133,1.4152661770405486e-6
Upf3a,Astro,6.83355935765711e-11,-0.4213120643890839,0.061,0.18,1.435047465107993e-6
Plcd4,Astro,7.44523970414191e-11,0.5234022833052618,0.477,0.291,1.563500337869801e-6
Agmo,Astro,7.681446835863005e-11,0.5222427510296872,0.225,0.074,1.613103835531231e-6
Lgals1,Astro,8.199959397127901e-11,0.5882296507672986,0.297,0.128,1.7219914733968592e-6
Sox4,Astro,8.807785903263041e-11,-0.3747766592199946,0.031,0.128,1.8496350396852386e-6
Ankra2,Astro,8.902590711760965e-11,-0.3787065256509865,0.07,0.195,1.8695440494698027e-6
